1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
77.2,1.286104,3.082681,2.57225,6.963531,1.286125,4.173541
77.4,1.289438,3.085589,2.578917,6.97225,1.289438,4.178198
77.6,1.292792,3.089666,2.585521,6.979831,1.29275,4.182824
77.8,1.296125,3.092964,2.592292,6.992515,1.296125,4.188681
78,1.299458,3.09569,2.598917,7.000709,1.299479,4.194506
78.2,1.302792,3.099108,2.605521,7.008958,1.302792,4.199036
78.4,1.306104,3.101993,2.61225,7.019567,1.306125,4.203852
78.6,1.309438,3.104504,2.618917,7.028969,1.309438,4.209026
78.8,1.312792,3.108398,2.6255,7.036837,1.312771,4.213715
79,1.316146,3.112141,2.63225,7.047764,1.316125,4.219007
79.2,1.319458,3.114605,2.638896,7.057762,1.319479,4.22469
79.4,1.322812,3.117561,2.645542,7.066759,1.322792,4.229967
79.6,1.326125,3.121169,2.65225,7.075731,1.326125,4.234656
79.8,1.329437,3.123514,2.658917,7.086134,1.329458,4.239623
80,1.332792,3.127249,2.665542,7.095019,1.33275,4.243771
80.2,1.336146,3.130547,2.672229,7.102585,1.336104,4.24904
80.4,1.339479,3.133376,2.678896,7.114474,1.339458,4.255072
80.6,1.342813,3.13642,2.685542,7.122874,1.342792,4.260127
80.8,1.346125,3.139472,2.692208,7.130941,1.346125,4.264458
81,1.349417,3.141697,2.698917,7.143458,1.349458,4.269966
81.2,1.352771,3.145091,2.705583,7.151643,1.352771,4.274273
81.4,1.356125,3.149327,2.712188,7.159066,1.356104,4.278962
81.6,1.359458,3.15191,2.718937,7.172155,1.359458,4.28501
81.8,1.362792,3.154612,2.725604,7.179944,1.362792,4.289802
82,1.366104,3.157743,2.732208,7.187867,1.366125,4.29434
82.2,1.369437,3.160326,2.738958,7.199296,1.369458,4.299489
82.4,1.372771,3.163346,2.745604,7.208117,1.372771,4.304147
82.6,1.376125,3.166636,2.752167,7.214769,1.376083,4.308716
82.8,1.379458,3.169839,2.758937,7.227024,1.379458,4.314558
83,1.382792,3.172715,2.765563,7.23575,1.382813,4.319938
83.2,1.386146,3.175759,2.772187,7.243729,1.386125,4.324476
83.4,1.389437,3.177913,2.778938,7.254449,1.389458,4.329427
83.6,1.39275,3.180726,2.785604,7.264248,1.392792,4.333925
83.8,1.396125,3.18408,2.792167,7.271925,1.396104,4.338542
84,1.399479,3.187394,2.798917,7.281438,1.399458,4.343692
84.2,1.402792,3.190104,2.805562,7.29212,1.402812,4.349017
84.4,1.406125,3.193069,2.812167,7.299987,1.406146,4.354215
84.6,1.409438,3.196009,2.818896,7.309357,1.409458,4.358665
84.8,1.41275,3.198234,2.825562,7.319903,1.412792,4.363489
85,1.416125,3.20158,2.832229,7.328907,1.416083,4.367661
85.2,1.419458,3.205132,2.838896,7.336847,1.419438,4.372573
85.4,1.422792,3.207588,2.845604,7.348362,1.422812,4.378319
85.6,1.426125,3.210592,2.85225,7.356715,1.426146,4.383683
85.8,1.429458,3.213183,2.858896,7.364257,1.429458,4.387339
86,1.432771,3.215289,2.865583,7.375654,1.432792,4.392648
86.2,1.436104,3.218778,2.87225,7.383895,1.436104,4.39721
86.4,1.439479,3.222545,2.878833,7.389927,1.439438,4.402089
86.6,1.442792,3.224842,2.885583,7.403517,1.442812,4.407183
86.8,1.446125,3.227592,2.89225,7.410955,1.446146,4.412532
87,1.449458,3.230715,2.898854,7.418974,1.449479,4.416561
87.2,1.452771,3.233051,2.905604,7.43018,1.452792,4.421329
87.4,1.456104,3.235332,2.91225,7.438866,1.456104,4.426225
87.6,1.459458,3.239489,2.918813,7.445137,1.459417,4.429889
87.8,1.462813,3.242071,2.925604,7.458083,1.462771,4.4355
88,1.466125,3.244448,2.93225,7.466086,1.466125,4.441198
88.2,1.469458,3.24777,2.938833,7.474065,1.469458,4.445314
88.4,1.472771,3.249375,2.945604,7.485024,1.472792,4.450067
88.6,1.476083,3.25218,2.95225,7.494251,1.476104,4.454502
88.8,1.479458,3.255709,2.958854,7.501841,1.479437,4.458857
89,1.482813,3.258872,2.965604,7.511679,1.482771,4.464332
89.2,1.486125,3.260986,2.97225,7.521287,1.486146,4.469141
89.4,1.489458,3.263982,2.978896,7.530117,1.489458,4.473821
89.6,1.492792,3.266517,2.985583,7.538676,1.492792,4.478574
89.8,1.496104,3.26887,2.99225,7.548682,1.496125,4.482897
90,1.499458,3.272247,2.998875,7.55655,1.499417,4.486775
90.2,1.502813,3.275156,3.005563,7.564545,1.502771,4.491798
90.4,1.506146,3.277445,3.012229,7.575528,1.506146,4.497448
90.6,1.509458,3.280266,3.018896,7.583602,1.509458,4.502201
90.8,1.512792,3.282992,3.025563,7.591113,1.512792,4.506405
91,1.516083,3.284915,3.03225,7.602692,1.516125,4.511158
91.2,1.519437,3.287633,3.038896,7.610711,1.519437,4.515561
91.4,1.522812,3.291662,3.045521,7.616457,1.522771,4.519518
91.6,1.526146,3.29407,3.05225,7.629633,1.526125,4.524922
91.8,1.529458,3.296018,3.058896,7.637,1.529479,4.529881
92,1.532792,3.298791,3.0655,7.644685,1.532792,4.53434
92.2,1.536104,3.301366,3.072271,7.65636,1.536125,4.538846
92.4,1.539438,3.304044,3.078917,7.664808,1.539438,4.542994
92.6,1.542792,3.30708,3.0855,7.671054,1.54275,4.547127
92.8,1.546146,3.309949,3.092292,7.683539,1.546125,4.552516
93,1.549458,3.312127,3.098917,7.69066,1.549479,4.557888
93.2,1.552812,3.314503,3.105542,7.698337,1.552792,4.561877
93.4,1.556104,3.317173,3.112271,7.707993,1.556125,4.566574
93.6,1.559438,3.319263,3.118917,7.716942,1.559458,4.571351
93.8,1.562792,3.322641,3.1255,7.723848,1.562771,4.575451
94,1.566146,3.325494,3.13225,7.733838,1.566125,4.580665
94.2,1.569458,3.327457,3.138875,7.742723,1.569479,4.585481
94.4,1.572792,3.330604,3.145542,7.750964,1.572812,4.589645
94.6,1.576125,3.33279,3.15225,7.760215,1.576146,4.594127
94.8,1.579437,3.335102,3.158917,7.768989,1.579458,4.598514
95,1.582792,3.338051,3.165542,7.776912,1.582771,4.602138
95.2,1.586146,3.340999,3.172229,7.7847,1.586104,4.607233
95.4,1.589458,3.343312,3.178896,7.7957,1.589458,4.612192
95.6,1.592792,3.345879,3.185521,7.803734,1.592792,4.617151
95.8,1.596125,3.348001,3.192208,7.812174,1.596125,4.621331
96,1.599437,3.349876,3.198917,7.824103,1.599458,4.625853
96.2,1.602771,3.353008,3.205562,7.832304,1.602771,4.630216
96.4,1.606146,3.356123,3.212208,7.838631,1.606104,4.634762
96.6,1.609458,3.358118,3.218937,7.851934,1.609458,4.639673
96.8,1.612792,3.360224,3.225583,7.858594,1.612792,4.64464
97,1.616125,3.363244,3.232208,7.865596,1.616125,4.648765
97.2,1.619437,3.36566,3.238958,7.877056,1.619458,4.653128
97.4,1.622771,3.36771,3.245604,7.884964,1.622771,4.657181
97.6,1.626146,3.370325,3.252167,7.890376,1.626083,4.661298
97.8,1.629479,3.373218,3.258937,7.902654,1.629458,4.666734
98,1.632792,3.375308,3.265563,7.910005,1.632813,4.671971
98.2,1.636125,3.377835,3.272187,7.917229,1.636125,4.676048
98.4,1.639437,3.379257,3.278938,7.928586,1.639479,4.67976
98.6,1.64275,3.381618,3.285604,7.936295,1.642792,4.684941
98.8,1.646125,3.384829,3.292187,7.943114,1.646104,4.688287
99,1.649479,3.387348,3.298917,7.952396,1.649458,4.693071
99.2,1.652792,3.389947,3.305562,7.961639,1.652812,4.698038
99.4,1.656125,3.391981,3.312167,7.969046,1.656146,4.702345
99.6,1.659458,3.394151,3.318896,7.977637,1.659479,4.706351
99.8,1.662771,3.396042,3.325562,7.98773,1.662792,4.710682
100,1.666104,3.39934,3.332208,7.995757,1.666104,4.713996
100.2,1.669479,3.402448,3.338896,8.003004,1.669438,4.718486
100.4,1.672792,3.404013,3.345604,8.014099,1.672792,4.724185
100.6,1.676125,3.406199,3.352229,8.021164,1.676125,4.728166
100.8,1.679458,3.408313,3.358875,8.028483,1.679458,4.732815
101,1.682771,3.410347,3.365583,8.039308,1.682792,4.736892
101.2,1.686104,3.413089,3.372229,8.047009,1.686104,4.741279
101.4,1.689479,3.416038,3.378833,8.052516,1.689438,4.745642
101.6,1.692792,3.418199,3.385583,8.065152,1.692792,4.750434
101.8,1.696125,3.419948,3.392229,8.071979,1.696146,4.755163
102,1.699458,3.422713,3.398854,8.078711,1.699479,4.759081
102.2,1.702771,3.424549,3.405604,8.089964,1.702812,4.763905
102.4,1.706104,3.426576,3.412271,8.097903,1.706104,4.767227
102.6,1.709458,3.429453,3.418833,8.103506,1.709417,4.770573
102.8,1.712812,3.431718,3.425604,8.115387,1.712792,4.776207
103,1.716125,3.434316,3.432229,8.122897,1.716125,4.781055
103.2,1.719458,3.43616,3.438854,8.129954,1.719458,4.784878
103.4,1.722771,3.437956,3.445583,8.140278,1.722792,4.789511
103.6,1.726083,3.440078,3.45225,8.148869,1.726104,4.793254
103.8,1.729458,3.443074,3.458854,8.155942,1.729437,4.797212
104,1.732792,3.445681,3.465604,8.165749,1.732771,4.802164
104.2,1.736125,3.44762,3.47225,8.173553,1.736146,4.807281
104.4,1.739458,3.449599,3.478875,8.181437,1.739458,4.811247
104.6,1.742792,3.451467,3.485583,8.189702,1.742792,4.814863
104.8,1.746104,3.453565,3.492271,8.198571,1.746125,4.819695
105,1.749458,3.456489,3.498875,8.206193,1.749437,4.822659
105.2,1.752813,3.458595,3.505563,8.213957,1.752771,4.827174
105.4,1.756146,3.4609,3.51225,8.224161,1.756146,4.832633
105.6,1.759458,3.462958,3.518917,8.231823,1.759458,4.836774
105.8,1.762792,3.464794,3.525563,8.238299,1.762792,4.840724
106,1.766104,3.465978,3.53225,8.24945,1.766125,4.84461
106.2,1.769437,3.468529,3.538917,8.256745,1.769437,4.848202
106.4,1.772812,3.472336,3.5455,8.26195,1.772771,4.852104
106.6,1.776125,3.473775,3.55225,8.274181,1.776125,4.857191
106.8,1.779458,3.475269,3.558896,8.281096,1.779479,4.861426
107,1.782792,3.477963,3.5655,8.287509,1.782792,4.865535
107.2,1.786104,3.47995,3.57225,8.298516,1.786146,4.869565
107.4,1.789438,3.481873,3.578917,8.306463,1.789438,4.872998
107.6,1.792792,3.485084,3.585521,8.312328,1.79275,4.876733
107.8,1.796125,3.487206,3.592271,8.323948,1.796125,4.881843
108,1.799458,3.488239,3.598938,8.330886,1.799458,4.886627
108.2,1.802792,3.490877,3.605521,8.337379,1.802792,4.890688
108.4,1.806104,3.492729,3.612271,8.347011,1.806125,4.894503
108.6,1.809417,3.494565,3.618917,8.354974,1.809438,4.898532
108.8,1.812812,3.497593,3.6255,8.361514,1.812771,4.902752
109,1.816146,3.49973,3.63225,8.371194,1.816125,4.906821
109.2,1.819458,3.501328,3.638896,8.379762,1.819479,4.911518
109.4,1.822792,3.503489,3.645521,8.386843,1.822792,4.915539
109.6,1.826125,3.505151,3.652271,8.395155,1.826125,4.919529
109.8,1.829437,3.507113,3.658917,8.40439,1.829458,4.923693
110,1.832792,3.509951,3.665542,8.411296,1.83275,4.927063
110.2,1.836146,3.512351,3.672208,8.417956,1.836104,4.931235
110.4,1.839479,3.513614,3.678917,8.428614,1.839458,4.936472
110.6,1.842813,3.516205,3.685562,8.436251,1.842813,4.940518
110.8,1.846125,3.517254,3.692208,8.442624,1.846125,4.944444
111,1.849417,3.518836,3.698896,8.452868,1.849458,4.94833
111.2,1.852771,3.521522,3.705562,8.461015,1.852771,4.952184
111.4,1.856146,3.524137,3.712188,8.466641,1.856104,4.956213
111.6,1.859458,3.526537,3.718937,8.478475,1.859458,4.961022
111.8,1.862792,3.527951,3.725604,8.484547,1.862792,4.96494
112,1.866125,3.530018,3.732208,8.490602,1.866125,4.968627
112.2,1.869437,3.531909,3.738958,8.500886,1.869458,4.972688
112.4,1.872771,3.534007,3.745604,8.508213,1.872771,4.976281
112.6,1.876125,3.536781,3.752167,8.513181,1.876083,4.979881
112.8,1.879479,3.538465,3.758937,8.524649,1.879458,4.984458
113,1.882813,3.540444,3.765583,8.531277,1.882792,4.989084
113.2,1.886146,3.542439,3.772208,8.53885,1.886125,4.99293
113.4,1.889437,3.543751,3.778938,8.548355,1.889458,4.997023
113.6,1.89275,3.545014,3.785583,8.556183,1.892792,5.000623
113.8,1.896125,3.547843,3.792167,8.562446,1.896104,5.004287
114,1.899479,3.550561,3.798917,8.571458,1.899458,5.008236
114.2,1.902792,3.551896,3.805562,8.579929,1.902812,5.013458
114.4,1.906125,3.55312,3.812167,8.58686,1.906146,5.017313
114.6,1.909438,3.555767,3.818896,8.594553,1.909479,5.02108
114.8,1.912771,3.557126,3.825562,8.603907,1.912792,5.025116
115,1.916104,3.559502,3.832208,8.610837,1.916083,5.028367
115.2,1.919479,3.562077,3.838896,8.617799,1.919438,5.03246
115.4,1.922792,3.563658,3.845604,8.628051,1.922812,5.037173
115.6,1.926125,3.565486,3.852229,8.634837,1.926125,5.041099
115.8,1.929458,3.566845,3.858896,8.640663,1.929458,5.044707
116,1.932771,3.56853,3.865583,8.650668,1.932792,5.048736
116.2,1.936104,3.571057,3.872229,8.657439,1.936104,5.052344
116.4,1.939479,3.573656,3.878833,8.662446,1.939438,5.056199
116.6,1.942812,3.575246,3.885583,8.67424,1.942792,5.060879
116.8,1.946125,3.576811,3.892229,8.680256,1.946146,5.06467
117,1.949479,3.578846,3.898875,8.687551,1.949458,5.068477
117.2,1.952771,3.580157,3.905604,8.698265,1.952792,5.072618
117.4,1.956104,3.582335,3.912271,8.705481,1.956104,5.075868
117.6,1.959479,3.584456,3.918833,8.710694,1.959417,5.079325
117.8,1.962812,3.586523,3.925604,8.722019,1.962792,5.083672
118,1.966146,3.587985,3.932229,8.727924,1.966125,5.088409
118.2,1.969479,3.589805,3.938854,8.734639,1.969458,5.091564
118.4,1.97275,3.591069,3.945604,8.744557,1.972792,5.095402
118.6,1.976083,3.59292,3.95225,8.752076,1.976104,5.09967
118.8,1.979458,3.595368,3.958854,8.758211,1.979417,5.102706
119,1.982813,3.597514,3.965604,8.767335,1.982771,5.106703
119.2,1.986125,3.599072,3.97225,8.775012,1.986146,5.111384
119.4,1.989458,3.600661,3.978875,8.781743,1.989458,5.114945
119.6,1.992792,3.60237,3.985604,8.789659,1.992792,5.118608
119.8,1.996104,3.603959,3.992271,8.798353,1.996125,5.122304
120,1.999458,3.606097,3.998875,8.805203,1.999437,5.125618
120.2,2.002812,3.608322,4.005583,8.810966,2.002771,5.129901
120.4,2.006125,3.60961,4.01225,8.821575,2.006146,5.134686
120.6,2.009479,3.611898,4.018896,8.828704,2.009458,5.138119
120.8,2.012792,3.613035,4.025562,8.834537,2.012792,5.141664
121,2.016083,3.614847,4.032271,8.844995,2.016125,5.145303
121.2,2.019438,3.616858,4.038917,8.851178,2.019438,5.148792
121.4,2.022792,3.619496,4.0455,8.855311,2.022771,5.15267
121.6,2.026125,3.621141,4.05225,8.867025,2.026125,5.157097
121.8,2.029458,3.622492,4.058896,8.872954,2.029458,5.160896
122,2.032792,3.623946,4.0655,8.879487,2.032792,5.164544
122.2,2.036104,3.625361,4.07225,8.889858,2.036125,5.168033
122.4,2.039438,3.627149,4.078917,8.896637,2.039438,5.171482
122.6,2.042792,3.629764,4.085521,8.901851,2.04275,5.174939
122.8,2.046125,3.631322,4.092292,8.913652,2.046125,5.179723
123,2.049458,3.633118,4.098917,8.919175,2.049458,5.183856
123.2,2.052792,3.634961,4.105521,8.925136,2.052792,5.18744
123.4,2.056104,3.635891,4.11225,8.934395,2.056125,5.19065
123.6,2.059438,3.637425,4.118937,8.942294,2.059438,5.194569
123.8,2.062792,3.639952,4.1255,8.946808,2.06275,5.197859
124,2.066146,3.641788,4.13225,8.955352,2.066125,5.201483
124.2,2.069458,3.643155,4.138896,8.96372,2.069479,5.205973
124.4,2.072792,3.644943,4.145542,8.970387,2.072792,5.209589
124.6,2.076125,3.646588,4.15225,8.977373,2.076146,5.212998
124.8,2.079437,3.647749,4.158937,8.985718,2.079458,5.21694
125,2.082792,3.649537,4.165542,8.99291,2.08275,5.21969
125.2,2.086146,3.651913,4.172208,8.998363,2.086104,5.22356
125.4,2.089479,3.653661,4.178916,9.008701,2.089479,5.228034
125.6,2.092813,3.655457,4.185542,9.015862,2.092792,5.232143
125.8,2.096125,3.656618,4.192208,9.021465,2.096125,5.235211
126,2.099437,3.657262,4.198916,9.032154,2.099458,5.23924
126.2,2.102771,3.659654,4.205583,9.038655,2.102771,5.242419
126.4,2.106146,3.662006,4.212208,9.043844,2.106104,5.245519
126.6,2.109458,3.663214,4.218958,9.054947,2.109458,5.250517
126.8,2.112792,3.66412,4.225604,9.060414,2.112792,5.254356
127,2.116125,3.666369,4.232208,9.065826,2.116125,5.257734
127.2,2.119437,3.668006,4.238937,9.07557,2.119458,5.261445
127.4,2.122771,3.669357,4.245604,9.082286,2.122771,5.264767
127.6,2.126125,3.671845,4.252167,9.086609,2.126104,5.267835
127.8,2.129458,3.67345,4.258937,9.097822,2.129458,5.271999
128,2.132792,3.674873,4.265584,9.103227,2.132813,5.276688
128.2,2.136146,3.676399,4.272187,9.109481,2.136146,5.279199
128.4,2.139437,3.676971,4.278937,9.118859,2.139479,5.282911
128.6,2.14275,3.677988,4.285604,9.125431,2.142792,5.286511
128.8,2.146125,3.68104,4.292167,9.131472,2.146104,5.2893
129,2.149479,3.682971,4.298917,9.139657,2.149458,5.293155
129.2,2.152792,3.683416,4.305562,9.147906,2.152812,5.2972
129.4,2.156125,3.684902,4.312188,9.153716,2.156146,5.300816
129.6,2.159458,3.686651,4.318896,9.161655,2.159479,5.303963
129.8,2.16275,3.688073,4.325562,9.170238,2.162771,5.307364
130,2.166104,3.690402,4.332208,9.17635,2.166083,5.31044
130.2,2.169458,3.692444,4.338896,9.182914,2.169437,5.314279
130.4,2.172792,3.693628,4.345604,9.192491,2.172812,5.3188
130.6,2.176125,3.695122,4.35225,9.198403,2.176125,5.322695
130.8,2.179458,3.696537,4.358896,9.203418,2.179458,5.325913
131,2.182771,3.697713,4.365583,9.213138,2.182792,5.329514
131.2,2.186104,3.699557,4.372229,9.219281,2.186104,5.332478
131.4,2.189479,3.701965,4.378833,9.223516,2.189437,5.335864
131.6,2.192812,3.70334,4.385583,9.234746,2.192812,5.340552
131.8,2.196125,3.704302,4.392229,9.240532,2.196146,5.344025
132,2.199458,3.705843,4.398854,9.246421,2.199458,5.347244
132.2,2.202771,3.707234,4.405604,9.256427,2.202812,5.350582
132.4,2.206104,3.708665,4.412271,9.262967,2.206104,5.353419
132.6,2.209458,3.710906,4.418812,9.266996,2.209417,5.356423
132.8,2.212812,3.712432,4.425604,9.278107,2.212792,5.360524
133,2.216125,3.713425,4.432229,9.283463,2.216146,5.36472
133.2,2.219458,3.714935,4.438833,9.289479,2.219458,5.368137
133.4,2.222771,3.716016,4.445583,9.298547,2.222792,5.371245
133.6,2.226083,3.717097,4.45225,9.305461,2.226104,5.374622
133.8,2.229458,3.719417,4.458833,9.310889,2.229417,5.377547
134,2.232792,3.721428,4.465604,9.319695,2.232792,5.381338
134.2,2.236125,3.721714,4.47225,9.326418,2.236125,5.385613
134.4,2.239458,3.723614,4.478896,9.333134,2.239458,5.388919
134.6,2.242792,3.725227,4.485583,9.339293,2.242792,5.392241
134.8,2.246104,3.726196,4.49225,9.347463,2.246125,5.395555
135,2.249458,3.728541,4.498875,9.353645,2.249438,5.398059
135.2,2.252812,3.72982,4.505562,9.359741,2.252771,5.401675
135.4,2.256146,3.730973,4.51225,9.368913,2.256146,5.40626
135.6,2.259479,3.732546,4.518896,9.375191,2.259479,5.409869
135.8,2.262792,3.73373,4.525562,9.38092,2.262812,5.413
136,2.266104,3.734462,4.53225,9.390386,2.266146,5.416107
136.2,2.269438,3.73617,4.538896,9.396569,2.269438,5.41954
136.4,2.272792,3.738626,4.545521,9.399764,2.272771,5.422521
136.6,2.276146,3.739627,4.55225,9.410922,2.276125,5.42647
136.8,2.279458,3.740764,4.558896,9.416183,2.279479,5.430102
137,2.282792,3.742154,4.5655,9.421556,2.282792,5.433241
137.2,2.286104,3.743084,4.57225,9.431505,2.286125,5.436579
137.4,2.289438,3.744483,4.578917,9.437449,2.289438,5.439806
137.6,2.292792,3.746549,4.5855,9.442337,2.29275,5.44227
137.8,2.296146,3.748425,4.592271,9.452288,2.296125,5.446315
138,2.299458,3.749172,4.598917,9.457803,2.299479,5.45036
138.2,2.302792,3.750889,4.605521,9.463389,2.302792,5.453578
138.4,2.306104,3.751683,4.61225,9.47129,2.306125,5.456702
138.6,2.309417,3.752669,4.618917,9.477925,2.309438,5.459968
138.8,2.312792,3.755204,4.6255,9.482567,2.312771,5.463123
139,2.316146,3.756778,4.63225,9.490641,2.316125,5.467065
139.2,2.319458,3.757906,4.638896,9.498628,2.319479,5.470681
139.4,2.322813,3.758963,4.645542,9.504144,2.322792,5.473693
139.6,2.326125,3.760195,4.65225,9.511232,2.326125,5.477198
139.8,2.329437,3.761268,4.658916,9.519021,2.329458,5.480162
140,2.332792,3.762817,4.665542,9.524632,2.33275,5.482825
140.2,2.336146,3.764741,4.672229,9.529638,2.336104,5.486496
140.4,2.339458,3.765607,4.678916,9.539811,2.339479,5.490851
140.6,2.342813,3.76726,4.685542,9.545223,2.342813,5.494293
140.8,2.346125,3.768102,4.692208,9.550531,2.346125,5.497035
141,2.349417,3.768579,4.698916,9.560323,2.349458,5.500817
141.2,2.352771,3.770614,4.705583,9.566052,2.352771,5.503408
141.4,2.356125,3.772942,4.712187,9.570591,2.356083,5.506444
141.6,2.359458,3.774198,4.718937,9.581327,2.359458,5.510704
141.8,2.362792,3.774889,4.725583,9.586215,2.362792,5.514058
142,2.366125,3.776455,4.732187,9.59065,2.366125,5.517014
142.2,2.369437,3.777512,4.738937,9.600067,2.369479,5.520654
142.4,2.372771,3.778768,4.745604,9.605868,2.372771,5.523189
142.6,2.376125,3.780913,4.752187,9.610049,2.376083,5.526002
142.8,2.379479,3.78232,4.758937,9.619999,2.379458,5.529976
143,2.382792,3.783178,4.765584,9.624696,2.382792,5.533926
143.2,2.386146,3.784474,4.772187,9.631212,2.386125,5.536731
143.4,2.389437,3.785396,4.778937,9.63978,2.389458,5.539807
143.6,2.39275,3.786445,4.785604,9.64586,2.392792,5.542779
143.8,2.396125,3.788424,4.792167,9.651327,2.396104,5.545791
144,2.399479,3.78991,4.798917,9.658186,2.399458,5.549041
144.2,2.402792,3.791022,4.805562,9.66603,2.402812,5.552927
144.4,2.406125,3.792048,4.812188,9.671426,2.406146,5.556139
144.6,2.409437,3.793168,4.818896,9.677935,2.409479,5.559444
144.8,2.412771,3.794026,4.825583,9.68612,2.412792,5.561956
145,2.416125,3.795958,4.832208,9.691875,2.416104,5.564888
145.2,2.419458,3.797849,4.838917,9.697445,2.419437,5.568155
145.4,2.422792,3.798517,4.845583,9.706823,2.422792,5.572113
145.6,2.426125,3.799677,4.852229,9.711909,2.426125,5.575418
145.8,2.429458,3.800885,4.858875,9.716503,2.429458,5.578184
146,2.432771,3.802236,4.865604,9.726707,2.432792,5.581339
146.2,2.436104,3.803333,4.872229,9.731833,2.436104,5.58432
146.4,2.439479,3.80559,4.878833,9.735338,2.439437,5.587427
146.6,2.442792,3.8064,4.885583,9.746019,2.442812,5.591568
146.8,2.446125,3.807243,4.892229,9.750994,2.446146,5.594587
147,2.449458,3.808316,4.898875,9.75666,2.449458,5.597496
147.2,2.452771,3.8095,4.905604,9.765871,2.452812,5.600754
147.4,2.456104,3.810565,4.912271,9.772165,2.456104,5.603075
147.6,2.459458,3.812218,4.918833,9.775352,2.459417,5.605793
147.8,2.462812,3.813545,4.925604,9.784889,2.462792,5.609647
148,2.466125,3.814443,4.93225,9.790547,2.466125,5.613875
148.2,2.469458,3.815738,4.938854,9.795897,2.469458,5.616069
148.4,2.472771,3.816454,4.945604,9.804337,2.472792,5.619335
148.6,2.476083,3.817391,4.95225,9.810345,2.476104,5.62214
148.8,2.479458,3.819307,4.958854,9.815574,2.479417,5.624437
149,2.482812,3.821031,4.965625,9.822862,2.482792,5.628356
149.2,2.486125,3.821158,4.97225,9.829633,2.486146,5.632059
149.4,2.489458,3.82251,4.978875,9.834814,2.489458,5.635127
149.6,2.492771,3.824147,4.985583,9.841005,2.492792,5.638369
149.8,2.496104,3.824902,4.99225,9.848102,2.496125,5.640952
150,2.499458,3.825911,4.998875,9.853498,2.499438,5.643646
150.2,2.502812,3.827651,5.005562,9.859133,2.502771,5.646626
150.4,2.506125,3.828629,5.01225,9.867374,2.506146,5.650481
150.6,2.509479,3.829964,5.018896,9.872866,2.509479,5.653588
150.8,2.512792,3.830647,5.025562,9.878103,2.512792,5.656608
151,2.516104,3.831394,5.032271,9.886885,2.516125,5.659922
151.2,2.519417,3.832928,5.038896,9.892376,2.519438,5.662282
151.4,2.522812,3.835265,5.0455,9.895515,2.522771,5.664762
151.6,2.526125,3.835837,5.05225,9.905855,2.526125,5.668577
151.8,2.529458,3.836584,5.058896,9.910528,2.529479,5.672208
152,2.532792,3.838046,5.0655,9.915225,2.532812,5.674958
152.2,2.536104,3.838722,5.07225,9.924905,2.536146,5.677549
152.4,2.539438,3.839477,5.078917,9.930698,2.539438,5.680156
152.6,2.542813,3.841861,5.085521,9.934592,2.54275,5.682572
152.8,2.546125,3.842561,5.092292,9.94463,2.546125,5.686442
153,2.549479,3.843586,5.098917,9.949176,2.549479,5.690487
153.2,2.552813,3.844849,5.105521,9.954309,2.552792,5.692697
153.4,2.556104,3.845143,5.11225,9.961438,2.556125,5.695685
153.6,2.559438,3.846598,5.118917,9.967978,2.559438,5.69884
153.8,2.562792,3.848259,5.1255,9.971698,2.562771,5.701192
154,2.566146,3.849594,5.13225,9.979701,2.566125,5.704355
154.2,2.569479,3.849856,5.138896,9.986289,2.569458,5.708218
154.4,2.572813,3.851183,5.145521,9.99151,2.572813,5.710801
154.6,2.576125,3.85205,5.15225,9.997646,2.576146,5.713765
154.8,2.579437,3.853448,5.158937,10.00531,2.579458,5.716626
155,2.582792,3.854712,5.165542,10.01019,2.58275,5.718748
155.2,2.586146,3.856007,5.172208,10.01452,2.586104,5.721942
155.4,2.589479,3.856953,5.178916,10.02444,2.589458,5.725964
155.6,2.592813,3.857994,5.185563,10.02931,2.592792,5.728968
155.8,2.596125,3.858582,5.192208,10.0341,2.596146,5.731837
156,2.599417,3.859027,5.198916,10.04326,2.599458,5.734468
156.2,2.602771,3.861022,5.205563,10.04968,2.602771,5.737042
156.4,2.606146,3.862715,5.212208,10.05277,2.606104,5.739728
156.6,2.609458,3.86339,5.218958,10.06275,2.609458,5.743734
156.8,2.612792,3.864161,5.225604,10.06715,2.612813,5.747032
157,2.616125,3.865369,5.232187,10.07102,2.616125,5.749456
157.2,2.619437,3.866418,5.238958,10.07981,2.619458,5.752381
157.4,2.622771,3.867372,5.245604,10.08516,2.622771,5.755226
157.6,2.626125,3.868715,5.252167,10.08817,2.626104,5.757801
157.8,2.629458,3.87005,5.258937,10.09749,2.629458,5.761456
158,2.632792,3.870527,5.265584,10.10265,2.632813,5.764977
158.2,2.636125,3.871918,5.272187,10.10788,2.636125,5.767369
158.4,2.639437,3.872307,5.278937,10.11496,2.639479,5.770286
158.6,2.64275,3.87311,5.285583,10.12077,2.642792,5.772821
158.8,2.646125,3.874834,5.292187,10.12545,2.646104,5.774745
159,2.649479,3.876535,5.298917,10.13239,2.649458,5.778178
159.2,2.652792,3.876893,5.305562,10.13908,2.652812,5.78146
159.4,2.656125,3.877576,5.312188,10.14441,2.656125,5.784321
159.6,2.659458,3.878427,5.318896,10.1512,2.659479,5.787055
159.8,2.662771,3.879388,5.325562,10.15882,2.662792,5.789979
