1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
17.2,0.2861042,1.623861,0.57225,3.560909,0.286125,2.122426
17.4,0.2894375,1.631308,0.5789167,3.574435,0.2894375,2.132726
17.6,0.2927917,1.639883,0.5855208,3.586586,0.29275,2.143176
17.8,0.2961458,1.647115,0.5922917,3.604102,0.296125,2.154525
18,0.2994583,1.654021,0.5989166,3.616564,0.2994583,2.165524
18.2,0.3027917,1.66107,0.6055208,3.629716,0.3027917,2.175291
18.4,0.3061042,1.668278,0.6122708,3.644768,0.306125,2.185702
18.6,0.3094375,1.674946,0.6189166,3.659384,0.3094375,2.195565
18.8,0.3127917,1.682981,0.6255,3.671074,0.3127708,2.205769
19,0.3161458,1.689816,0.63225,3.686794,0.316125,2.216498
19.2,0.3194583,1.696372,0.6389167,3.700884,0.3194792,2.227314
19.4,0.3228125,1.703827,0.6455417,3.713552,0.3227917,2.237193
19.6,0.326125,1.710304,0.65225,3.727468,0.3261458,2.24692
19.8,0.3294375,1.716614,0.6589375,3.74186,0.3294583,2.256918
20,0.3327917,1.724251,0.6655416,3.754918,0.33275,2.266169
20.2,0.3361458,1.7313,0.6722083,3.7666,0.3361042,2.276158
20.4,0.3394791,1.737793,0.6789166,3.783901,0.3394583,2.287022
20.6,0.3428125,1.744747,0.6855416,3.796442,0.3427917,2.296631
20.8,0.346125,1.751224,0.6922083,3.808689,0.346125,2.306191
21,0.3494375,1.756978,0.6989167,3.825148,0.3494375,2.31564
21.2,0.3527708,1.764393,0.7055833,3.837768,0.3527708,2.32478
21.4,0.356125,1.771903,0.7121875,3.848886,0.3561042,2.334507
21.6,0.3594583,1.778332,0.7189583,3.866299,0.3594583,2.344735
21.8,0.3627917,1.784428,0.7256042,3.878554,0.3627917,2.354185
22,0.366125,1.791056,0.7321875,3.889537,0.366125,2.363412
22.2,0.3694375,1.79735,0.7389375,3.904835,0.3694583,2.372813
22.4,0.3727708,1.803756,0.7456042,3.918068,0.37275,2.381547
22.6,0.3761458,1.811139,0.7521666,3.928081,0.3760833,2.390695
22.8,0.3794792,1.817449,0.7589375,3.944556,0.3794583,2.400501
23,0.3827917,1.823751,0.7655833,3.956397,0.3828125,2.409991
23.2,0.386125,1.830101,0.7722083,3.969352,0.386125,2.41909
23.4,0.3894375,1.835505,0.7789167,3.983776,0.3894792,2.427483
23.6,0.39275,1.841919,0.7855833,3.996778,0.3927917,2.436543
23.8,0.396125,1.84896,0.7921667,4.008707,0.3961042,2.444871
24,0.3994792,1.85562,0.7989166,4.021986,0.3994583,2.454631
24.2,0.4027916,1.861238,0.8055833,4.036244,0.4028125,2.464128
24.4,0.406125,1.867644,0.8121875,4.048181,0.4061458,2.472584
24.6,0.4094375,1.87331,0.8188958,4.061834,0.4094792,2.481254
24.8,0.41275,1.879525,0.8255625,4.075964,0.4127917,2.489845
25,0.4161042,1.886098,0.8322083,4.088783,0.4160833,2.497784
25.2,0.4194583,1.893202,0.8388958,4.100069,0.4194375,2.506836
25.4,0.4227917,1.898774,0.8456042,4.115812,0.4228125,2.516357
25.6,0.426125,1.904448,0.85225,4.127526,0.426125,2.525028
25.8,0.4294583,1.910535,0.8588958,4.138478,0.4294583,2.533261
26,0.4327708,1.91625,0.8655833,4.153434,0.4328125,2.542114
26.2,0.4361041,1.923362,0.8722292,4.165133,0.4361041,2.550157
26.4,0.4394792,1.929537,0.8788542,4.175743,0.4394375,2.558351
26.6,0.4428125,1.935617,0.8855833,4.191796,0.4427917,2.567967
26.8,0.446125,1.941323,0.89225,4.203185,0.446125,2.575898
27,0.4494583,1.94718,0.898875,4.214517,0.4494583,2.58414
27.2,0.4527708,1.953109,0.9056042,4.229768,0.4527917,2.592683
27.4,0.4561042,1.958855,0.91225,4.241554,0.4561042,2.600519
27.6,0.4594792,1.965857,0.9188333,4.251774,0.4594167,2.608212
27.8,0.4627917,1.972016,0.9255833,4.267684,0.4627917,2.617192
28,0.466125,1.977332,0.9322292,4.279693,0.466125,2.626157
28.2,0.4694583,1.98307,0.9388333,4.290732,0.4694583,2.633858
28.4,0.4727708,1.988824,0.9456041,4.305911,0.4727917,2.641749
28.6,0.4761042,1.994157,0.95225,4.318611,0.476125,2.649506
28.8,0.4794583,2.000705,0.9588333,4.329316,0.4794167,2.657437
29,0.4828125,2.006467,0.9656042,4.343645,0.4827917,2.665925
29.2,0.486125,2.011768,0.97225,4.355439,0.4861458,2.674389
29.4,0.4894583,2.016878,0.9788958,4.367661,0.4894583,2.682312
29.6,0.4927917,2.022886,0.9855833,4.37932,0.4928125,2.689703
29.8,0.4961042,2.0281,0.9922708,4.393665,0.496125,2.697889
30,0.4994583,2.034553,0.998875,4.40503,0.4994375,2.705328
30.2,0.5028125,2.040863,1.005563,4.415902,0.5027708,2.713283
30.4,0.506125,2.046124,1.01225,4.430532,0.5061458,2.721715
30.6,0.5094583,2.052045,1.018896,4.442247,0.5094583,2.730115
30.8,0.5127916,2.05795,1.025563,4.453722,0.5127916,2.737109
31,0.5160833,2.063219,1.03225,4.468378,0.516125,2.745064
31.2,0.5194375,2.069116,1.038917,4.48029,0.5194375,2.752741
31.4,0.5227917,2.07541,1.0455,4.489478,0.5227708,2.759981
31.6,0.526125,2.080878,1.05225,4.505539,0.526125,2.768524
31.8,0.5294583,2.086027,1.058896,4.516172,0.5294583,2.77609
