"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"38.4","3.017394","0.6394792"
"38.6","3.024292","0.6427917"
"38.8","3.030491","0.6460834"
"39","3.038089","0.6494583"
"39.2","3.045614","0.6528125"
"39.4","3.052529","0.656125"
"39.6","3.059006","0.6594583"
"39.8","3.065848","0.6627917"
"40","3.071968","0.6660833"
"40.2","3.079097","0.6694375"
"40.4","3.087091","0.6727917"
"40.6","3.094061","0.676125"
"40.8","3.100753","0.6794583"
"41","3.107564","0.6827917"
"41.2","3.113755","0.6861042"
"41.4","3.120788","0.6894375"
"41.6","3.128115","0.6927916"
"41.8","3.1353","0.6961458"
"42","3.141189","0.6994792"
"42.2","3.148341","0.7028125"
"42.4","3.154318","0.7061042"
"42.6","3.160389","0.7094167"
"42.8","3.168019","0.7127917"
"43","3.175211","0.7161458"
"43.2","3.181688","0.7194583"
"43.4","3.188236","0.7227917"
"43.6","3.194769","0.7261041"
"43.8","3.200777","0.7294167"
"44","3.208192","0.7327917"
"44.2","3.215082","0.7361459"
"44.4","3.221393","0.7394583"
"44.6","3.227862","0.7427917"
"44.8","3.234474","0.746125"
"45","3.240268","0.7494166"
"45.2","3.247094","0.7527708"
"45.4","3.254278","0.7561458"
"45.6","3.260605","0.7594792"
"45.8","3.266962","0.7628125"
"46","3.273821","0.766125"
"46.2","3.279511","0.7694375"
"46.4","3.286012","0.7727708"
"46.6","3.293252","0.776125"
"46.8","3.299649","0.7794583"
"47","3.305721","0.7827917"
"47.2","3.311817","0.786125"
"47.4","3.318222","0.7894375"
"47.6","3.32454","0.79275"
"47.8","3.331351","0.796125"
"48","3.338575","0.7994583"
"48.2","3.344424","0.8027917"
"48.4","3.351045","0.806125"
"48.6","3.357331","0.8094583"
"48.8","3.363371","0.8127708"
"49","3.369761","0.816125"
"49.2","3.376714","0.8194792"
"49.4","3.382754","0.8227916"
"49.6","3.388683","0.826125"
"49.8","3.395081","0.8294583"
"50","3.400707","0.8327708"
"50.2","3.406858","0.8361042"
"50.4","3.414695","0.8394791"
"50.6","3.421084","0.8428125"
"50.8","3.42675","0.846125"
"51","3.432997","0.8494583"
"51.2","3.438632","0.8527708"
"51.4","3.444775","0.8561041"
"51.6","3.451769","0.8594791"
"51.8","3.458142","0.8627917"
"52","3.463618","0.866125"
"52.2","3.470111","0.8694583"
"52.4","3.475849","0.8727708"
"52.6","3.481547","0.8760833"
"52.8","3.488755","0.8794583"
"53","3.495026","0.8827916"
"53.2","3.500962","0.886125"
"53.4","3.506637","0.8894583"
"53.6","3.513177","0.8927916"
"53.8","3.518756","0.8960833"
"54","3.525066","0.8994583"
"54.2","3.531845","0.9028125"
"54.4","3.537925","0.906125"
"54.6","3.543766","0.9094583"
"54.8","3.549663","0.9127917"
"55","3.554893","0.9160833"
"55.2","3.560972","0.9194375"
"55.4","3.568085","0.9227917"
"55.6","3.573879","0.926125"
"55.8","3.579577","0.9294583"
"56","3.58568","0.9327917"
"56.2","3.591728","0.9361042"
"56.4","3.597601","0.9394375"
"56.6","3.604348","0.9427916"
"56.8","3.610245","0.946125"
"57","3.615483","0.9494583"
"57.2","3.62184","0.9527916"
"57.4","3.627332","0.9561042"
"57.6","3.632514","0.9594166"
"57.8","3.639738","0.9627708"
"58","3.645961","0.9661458"
"58.2","3.651595","0.9694583"
"58.4","3.656999","0.9727917"
"58.6","3.662721","0.9761041"
"58.8","3.66807","0.9794167"
"59","3.674682","0.9827708"
"59.2","3.681103","0.9861458"
"59.4","3.686388","0.9894583"
"59.6","3.692587","0.9927917"
"59.8","3.697984","0.996125"
"60","3.702887","0.9994375"
"60.2","3.709086","1.002771"
"60.4","3.715992","1.006146"
"60.6","3.721849","1.009458"
"60.8","3.72715","1.012792"
"61","3.733238","1.016125"
"61.2","3.737799","1.019437"
"61.4","3.74403","1.022771"
"61.6","3.750126","1.026125"
"61.8","3.756468","1.029458"
"62","3.762015","1.032792"
"62.2","3.767832","1.036146"
"62.4","3.77268","1.039438"
"62.6","3.777814","1.04275"
"62.8","3.784561","1.046125"
"63","3.790601","1.049458"
"63.2","3.796069","1.052792"
"63.4","3.801473","1.056125"
"63.6","3.806813","1.059458"
"63.8","3.812249","1.062771"
"64","3.818051","1.066125"
"64.2","3.824218","1.069479"
"64.4","3.829527","1.072792"
