, kp = 27.000000  ti = 0.000000  td = 0.000000
Time , RPM
4.529,2065
4.539,2063
4.55,2093
4.56,2065
4.57,2095
4.58,2065
4.59,2065
4.6,2063
4.61,2095
4.62,2065
4.63,2095
4.64,2065
4.65,2095
4.66,2063
4.67,2094
4.68,2065
4.69,2095
4.7,2065
4.71,2065
4.72,2095
4.73,2065
4.74,2095
4.75,2065
4.76,2065
4.77,2063
4.78,2065
4.79,2063
4.8,2095
4.81,2065
4.82,2063
4.83,2093
4.84,2063
4.85,2095
4.86,2065
4.87,2093
4.88,2065
4.89,2095
4.9,2065
4.91,2095
4.92,2006
4.93,2063
4.94,2065
4.95,2063
4.96,2095
4.97,2095
4.98,2065
4.991,2063
5.001,2095
5.011,2065
5.021,2063
5.031,2095
5.041,2065
5.051,2063
5.061,2095
5.071,2065
5.081,2095
5.091,2095
5.101,2065
5.111,2093
5.121,2065
5.131,2095
5.141,2065
5.151,2095
5.161,2065
5.171,2095
5.181,2065
5.191,2095
5.201,2065
5.211,2095
5.221,2065
5.231,2095
5.241,2063
5.251,2095
5.261,2065
5.271,2093
5.281,2065
5.291,2065
5.301,2095
5.311,2065
5.321,2003
5.331,2095
5.341,2063
5.351,2095
5.361,2093
5.371,2065
5.381,2095
5.391,2065
5.401,2095
5.411,2065
5.421,2095
5.432,2093
5.442,2065
5.452,2065
5.462,2063
5.472,2095
5.482,2063
5.492,2095
5.502,2065
5.512,2095
5.522,2065
5.532,2095
5.542,2065
5.552,2095
5.562,2065
5.572,2095
5.582,2065
5.592,2095
5.602,2065
5.612,2095
5.622,2065
5.632,2065
5.642,2063
5.652,2095
5.662,2065
5.672,2095
5.682,2065
5.692,2095
5.702,2065
5.712,2095
5.722,2065
5.732,2063
5.742,2065
5.752,2063
5.762,2095
5.772,2065
5.782,2063
5.792,2095
5.802,2065
5.812,2095
5.822,2095
5.832,2063
5.842,2095
5.852,2065
5.862,2095
5.872,2065
5.883,2095
5.893,2065
5.903,2063
5.913,2065
5.923,2063
5.933,2095
5.943,2095
5.953,2093
5.963,2125
5.973,2125
5.983,2125
5.993,2125
6.003,2155
6.013,2154
6.023,2125
6.033,2155
6.043,2155
6.053,2153
6.063,2093
6.073,2153
6.083,2153
6.093,2155
6.103,2155
6.113,2155
6.123,2155
6.133,2155
6.143,2153
6.153,2155
6.163,2155
6.173,2183
6.183,2155
6.193,2155
6.203,2155
6.213,2155
6.223,2153
6.233,2155
6.243,2155
6.253,2185
6.263,2153
6.273,2155
6.283,2155
6.293,2153
6.303,2155
6.313,2155
6.324,2185
6.334,2153
6.344,2155
6.354,2155
6.364,2155
6.374,2153
6.384,2155
6.394,2155
6.404,2185
6.414,2155
6.424,2155
6.434,2155
6.444,2155
6.454,2153
6.464,2155
6.474,2155
6.484,2155
6.494,2185
6.504,2155
6.514,2155
6.524,2155
6.534,2155
6.544,2185
6.554,2155
6.564,2155
6.574,2095
6.584,2155
6.594,2185
6.604,2155
6.614,2155
6.624,2153
6.634,2155
6.644,2155
6.654,2185
6.664,2155
6.674,2155
6.684,2184
6.694,2155
6.704,2155
6.714,2155
6.724,2155
6.734,2153
6.744,2155
6.754,2155
6.764,2155
6.774,2184
6.785,2155
6.795,2155
6.805,2155
6.815,2155
6.825,2184
6.835,2155
6.845,2155
6.855,2095
6.865,2155
6.875,2185
6.885,2155
6.895,2155
6.905,2153
6.915,2155
6.925,2155
6.935,2155
6.945,2153
6.955,2155
6.965,2155
6.975,2153
6.985,2155
6.995,2155
7.005,2185
7.015,2155
7.025,2155
7.035,2155
7.045,2185
7.055,2155
7.065,2155
7.075,2155
7.085,2155
7.095,2185
7.105,2155
7.115,2155
7.125,2155
7.135,2155
7.145,2155
7.155,2153
7.165,2155
7.175,2155
7.185,2153
7.195,2155
7.205,2155
7.215,2155
7.225,2185
7.235,2155
7.245,2155
7.256,2155
7.266,2155
7.276,2185
7.286,2155
7.296,2155
7.306,2155
7.316,2155
7.326,2155
7.336,2153
7.346,2155
7.356,2155
7.366,2155
7.376,2185
7.386,2153
7.396,2155
7.406,2155
7.416,2155
7.426,2155
7.436,2153
7.446,2155
7.456,2155
7.466,2155
7.476,2153
7.486,2155
7.496,2155
7.506,2185
7.516,2155
7.526,2155
7.536,2155
7.546,2155
7.556,2185
7.566,2155
7.576,2155
7.586,2155
7.596,2155
7.606,2184
7.616,2155
7.626,2095
7.636,2155
7.646,2155
7.656,2153
7.666,2155
7.676,2185
7.686,2155
7.696,2155
7.706,2184
7.716,2155
7.727,2155
7.737,2124
7.747,2155
7.757,2155
7.767,2184
7.777,2155
7.787,2155
7.797,2153
7.807,2155
7.817,2155
7.827,2185
7.837,2155
7.847,2155
7.857,2153
7.867,2155
7.877,2155
7.887,2185
7.897,2155
7.907,2155
7.917,2155
7.927,2185
7.937,2155
7.947,2155
7.957,2183
7.967,2155
7.977,2155
7.987,2155
7.997,2155
8.007,2185
8.017,2155
8.027,2155
8.037,2156
8.047,2155
8.057,2153
8.067,2155
8.077,2155
8.087,2155
8.097,2153
8.107,2155
8.117,2184
8.127,2155
8.137,2155
8.147,2155
8.157,2185
8.167,2155
8.177,2155
8.188,2155
8.198,2185
8.208,2152
8.218,2155
8.228,2183
8.238,2155
8.248,2155
8.258,2155
8.268,2155
8.278,2153
8.288,2155
8.298,2155
8.308,2155
8.318,2183
8.328,2155
8.338,2155
8.348,2153
8.358,2155
8.368,2155
8.378,2183
8.388,2155
8.398,2155
8.408,2155
8.418,2153
8.428,2155
8.438,2155
8.448,2153
8.458,2155
8.468,2155
8.478,2152
8.488,2155
8.498,2185
8.508,2155
8.518,2155
8.528,2153
8.538,2155
8.548,2184
8.558,2155
8.568,2155
8.578,2155
8.588,2153
8.598,2155
8.608,2184
8.619,2155
8.629,2155
8.639,2156
8.649,2185
8.659,2155
8.669,2155
8.679,2185
8.689,2155
8.699,2155
8.709,2156
8.719,2155
8.729,2153
8.739,2155
8.749,2155
8.759,2184
8.769,2155
8.779,2155
8.789,2155
8.799,2125
8.809,2123
8.819,2125
8.829,2124
8.839,2095
8.849,2125
8.859,2095
8.869,2095
8.879,2096
8.889,2095
8.899,2095
8.909,2066
8.919,2095
8.929,2095
8.939,2065
8.949,2095
8.959,2095
8.969,2065
8.979,2065
8.989,2095
8.999,2065
9.009,2063
9.019,2093
9.029,2066
9.039,2065
9.049,2095
9.059,2065
9.069,2063
9.08,2093
9.09,2065
9.1,2065
9.11,2096
9.12,2095
9.13,2063
9.14,2065
9.15,2063
9.16,2065
9.17,2095
9.18,2093
9.19,2065
9.2,2066
9.21,2063
9.22,2094
9.23,2066
9.24,2095
9.25,2005
9.26,2093
9.27,2065
9.28,2063
9.29,2095
9.3,2095
9.31,2066
9.32,2094
9.33,2065
9.34,2095
9.35,2065
9.36,2063
9.37,2065
9.38,2063
9.39,2094
9.4,2065
9.41,2095
9.42,2093
9.43,2005
9.44,2065
9.45,2063
9.46,2095
9.47,2095
9.48,2093
9.49,2065
9.5,2094
9.511,2065
9.521,2095
9.531,2093
9.541,2065
9.551,2065
9.561,2063
9.571,2095
9.581,2065
9.591,2095
9.601,2065
9.611,2095
9.621,2065
9.631,2095
9.641,2093
9.651,2065
9.661,2065
9.671,2063
9.681,2095
9.691,2065
9.701,2095
9.711,2065
9.721,2063
9.731,2065
9.741,2063
9.751,2095
9.761,2095
9.771,2065
9.781,2095
9.791,2065
9.801,2095
9.811,2094
9.821,2065
9.831,2095
9.841,2065
9.851,2095
9.861,2065
9.871,2095
9.881,2094
9.891,2005
9.901,2066
9.911,2063
9.921,2095
9.931,2095
9.941,2095
9.951,2066
9.962,2095
9.972,2095
9.982,2066
9.992,2095
10.002,2094
10.012,2065
10.022,2093
10.032,2065
10.042,2095
10.052,2095
10.062,2063
10.072,2065
10.082,2095
10.092,2095
10.102,2065
10.112,2095
10.122,2066
10.132,2094
10.142,2065
10.152,2095
10.162,2065
10.172,2095
10.182,2065
10.192,2095
